id,edad,califica_presidente,califica_gobernador,distance_km,RBC,JDM,Nose,Ninguno,VGH,Tina,NSE,DF
769,46.62189616,10,10,11.1384165,1,0,0,0,0,0,D,4
765,38,10,1,11.13006556,0,0,0,1,0,0,D,4
95,70,10,10,16.22421211,1,0,0,0,0,0,C-,5
214,35,10,7,153.7232819,1,0,0,0,0,0,E,1
216,40,10,6,153.6900788,0,1,0,0,0,0,E,1
253,45,10,8,76.42920118,0,1,0,0,0,0,C,5
262,74,10,8,76.71976942,0,1,0,0,0,0,C+,5
851,99,10,7,2.094884586,0,1,0,0,0,0,C-,3
606,67,10,8,6.062314968,0,0,0,1,0,0,C-,3
907,57,10,6,5.578001811,0,1,0,0,0,0,C+,4
79,32,10,1,16.30458322,0,0,0,0,1,0,C-,5
904,56,10,4,5.501883238,0,1,0,0,0,0,E,4
635,35,10,8,4.694881191,0,1,0,0,0,0,C-,6
633,73,10,2,4.702718226,0,1,0,0,0,0,C-,6
128,65,10,8,16.38125238,0,1,0,0,0,0,C-,5
640,26,10,7,5.271803498,0,0,1,0,0,0,D+,6
664,54,10,6,4.849610158,0,1,0,0,0,0,D+,6
153,38,10,8,153.4961903,1,0,0,0,0,0,E,1
645,64,10,9,5.46706264,0,1,0,0,0,0,C-,6
162,36,10,5,16.42278816,1,0,0,0,0,0,C-,5
168,72,10,8,153.4987299,1,0,0,0,0,0,E,1
716,25,10,1,4.706564851,0,0,1,0,0,0,N/D,6
848,52,10,4,3.006748353,0,1,0,0,0,0,D+,3
847,30,10,8,3.015234895,0,1,0,0,0,0,D+,3
849,56,10,8,3.021362256,0,1,0,0,0,0,D+,3
248,18,10,10,76.38831832,0,0,1,0,0,0,C,5
869,33,10,4,2.882170587,0,1,0,0,0,0,C,3
734,71,10,7,5.42831438,0,1,0,0,0,0,D+,6
929,43,10,9,5.771459737,0,1,0,0,0,0,C-,3
928,56,10,10,5.801338926,0,1,0,0,0,0,C-,3
558,38,10,4,6.60424498,0,1,0,0,0,0,C-,4
118,32,10,5,16.29465178,0,0,0,0,1,0,C-,5
144,68,10,7,63.92582373,1,0,0,0,0,0,C+,5
207,41,10,7,153.7322267,0,0,0,1,0,0,E,1
255,38,10,8,76.37265421,1,0,0,0,0,0,C,5
258,48,10,10,76.46714731,0,1,0,0,0,0,D+,5
490,29,10,10,7.787574228,0,1,0,0,0,0,A/B,4
458,29,10,7,5.814325766,0,1,0,0,0,0,C+,6
534,68,10,7,6.463237325,0,1,0,0,0,0,A/B,6
244,29,10,10,76.41545713,0,1,0,0,0,0,C,5
287,80,10,10,178.6438728,0,1,0,0,0,0,N/D,1
621,28,10,5,5.325202745,0,1,0,0,0,0,C,6
609,50,10,6,5.438160794,0,1,0,0,0,0,A/B,6
599,80,10,1,5.299852203,0,1,0,0,0,0,C-,6
447,74,10,8,4.979234516,0,1,0,0,0,0,C-,6
446,25,10,7,4.926842226,0,1,0,0,0,0,C-,6
574,19,10,4,5.168556172,1,0,0,0,0,0,A/B,4
726,39,10,6,5.361154937,0,1,0,0,0,0,C-,6
729,24,10,7,5.427024149,0,1,0,0,0,0,C,6
297,45,10,8,91.39617664,0,1,0,0,0,0,D+,5
757,19,10,7,6.250187132,1,0,0,0,0,0,D+,3
519,59,10,7,8.249257722,1,0,0,0,0,0,A/B,4
10,38,10,1,35.23202004,0,1,0,0,0,0,C,2
516,45,10,6,8.19325771,0,1,0,0,0,0,A/B,4
518,55,10,10,8.176796281,1,0,0,0,0,0,C+,4
521,33,10,5,8.20333001,1,0,0,0,0,0,A/B,4
646,25,10,8,11.69400786,1,0,0,0,0,0,C+,4
660,36,10,9,11.6933475,0,1,0,0,0,0,A/B,4
93,48,10,1,37.46773119,1,0,0,0,0,0,C-,2
674,35,10,5,11.76244001,0,0,0,1,0,0,A/B,4
667,72,10,6,11.81884774,0,1,0,0,0,0,C+,4
538,36,10,10,9.986001354,0,1,0,0,0,0,D+,4
158,56,10,10,64.01311514,0,1,0,0,0,0,C+,5
191,74,10,3,153.5653463,0,1,0,0,0,0,E,1
560,23,10,7,9.030121185,0,1,0,0,0,0,C-,4
292,70,10,9,91.30066993,1,0,0,0,0,0,C,5
