id,sexo,edad,califica_presidente,califica_gobernador,distance_Km,nse,candidatos_gober_3,df
883,H,65,10,8,12.58686544,N/D,JDM,4
895,M,79,10,10,12.64134192,N/D,Otro,4
552,M,55,5,10,4.896021026,C+,RBC,4
853,M,54,10,8,2.029780007,D,JDM,3
649,H,61,9,1,3.99209118,C+,JDM,6
650,M,45,8,8,4.057153445,C+,JDM,6
647,M,35,10,8,4.096871979,D,JDM,6
626,M,68,10,1,6.009243149,D,JDM,3
618,M,55,9,8,6.157329868,D+,RBC,3
907,M,57,10,6,5.578001811,C+,JDM,4
904,H,56,10,4,5.501883238,E,JDM,4
635,M,35,10,8,4.694881191,C-,JDM,6
633,M,73,10,2,4.702718226,C-,JDM,6
664,H,54,10,6,4.849610158,D+,JDM,6
645,M,64,10,9,5.46706264,C-,JDM,6
637,M,88,10,6,4.083029122,D,JDM,6
638,H,55,10,5,4.172012128,D,JDM,6
844,H,35,9,4,3.003851253,D+,JDM,3
847,M,30,10,8,3.015234895,D+,JDM,3
849,H,56,10,8,3.021362256,D+,JDM,3
869,M,33,10,4,2.882170587,C,JDM,3
862,M,73,5,10,2.88776909,C,RBC,3
863,M,73,10,1,2.947010977,D,JDM,3
456,M,63,6,10,5.832049685,C+,RBC,6
450,H,38,10,5,5.612122399,D,JDM,6
821,H,20,10,8,7.814402082,D,JDM,3
771,M,24,8,9,8.260794909,D,JDM,3
775,M,44,10,8,8.314034865,D,RBC,3
928,M,56,10,10,5.801338926,C-,JDM,3
866,M,48,3,6,8.072526929,C,Otro,4
920,M,52,10,1,6.374154482,D,JDM,3
528,M,38,8,9,6.777395971,C-,RBC,6
532,H,65,10,1,6.885516112,D,JDM,6
504,H,30,9,9,7.770948764,D,Otro,4
888,M,56,10,7,3.070340437,D,JDM,3
889,M,65,10,5,3.02750838,D,JDM,3
919,M,18,10,8,6.364101417,D,JDM,3
462,M,57,2,8,6.002187271,C-,RBC,6
458,M,29,10,7,5.814325766,C+,JDM,6
534,H,68,10,7,6.463237325,A/B,JDM,6
738,M,52,10,10,5.761162532,D,JDM,3
735,H,32,10,5,5.738980794,D,JDM,3
787,H,33,10,8,8.204201872,D,JDM,3
793,H,59,10,5,8.209371748,D,JDM,3
621,H,28,10,5,5.325202745,C,JDM,6
622,M,72,6,8,5.291517367,C,RBC,6
609,H,50,10,6,5.438160794,A/B,JDM,6
619,H,61,7,8,5.231149281,C+,RBC,6
599,H,80,10,1,5.299852203,C-,JDM,6
446,M,25,10,7,4.926842226,C-,JDM,6
574,M,19,10,4,5.168556172,A/B,RBC,4
726,H,39,10,6,5.361154937,C-,JDM,6
751,H,65,10,10,6.137640671,D,RBC,3
755,H,28,10,8,6.285299902,D,JDM,3
580,M,54,1,1,4.705719697,D,RBC,4
516,M,45,10,6,8.19325771,A/B,JDM,4
521,M,33,10,5,8.20333001,A/B,RBC,4
646,H,25,10,8,11.69400786,C+,RBC,4
541,H,53,9,8,9.948292859,D+,JDM,4
561,H,31,9,9,8.983648929,C-,JDM,4
582,M,39,9,7,7.389747225,C+,Otro,4
589,H,21,8,7,7.74302742,C-,RBC,4
575,M,21,10,5,8.189825041,D,RBC,4
776,M,70,5,10,8.228537256,D,RBC,3
926,M,53,10,5,7.26004493,D,Otro,3
657,H,36,9,7,5.126289585,D,JDM,6
501,M,30,8,9,7.586789811,A/B,JDM,4
