Name,Folder Path,Inicio del informe,Fin del informe,Nombre del anuncio,Entrega del anuncio,Nombre del conjunto de anuncios,Puja,Tipo de puja,Presupuesto del conjunto de anuncios,Tipo de presupuesto del conjunto de anuncios,Último cambio significativo,Configuración de atribución,Resultados,Indicador de resultado,Alcance,Impresiones,Coste por resultados,Clasificación por calidad,Clasificación por porcentaje de interacción,Clasificación por tasa de conversión,Importe gastado (MXN),Fin,Clasificacion,Lugar,Objetivo,Red Social,Dias_transcurridos,Clasificacion.Descripción,Lugar.Descripción,Objetivo.Descripción,Red_Social.Descripción,Nombre_corto_anuncio
"RZB Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-12 00:00:00.000,2024-03-12 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",212,"video_thruplay_watched_actions",2499,2624,0.750047,"-","-","-",159.01,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",19,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-12 00:00:00.000,2024-03-12 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",361,"video_thruplay_watched_actions",2462,2602,0.551939,"-","-","-",199.25,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",19,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-13 00:00:00.000,2024-03-13 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",13991,"video_thruplay_watched_actions",34084,36509,0.096814,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",1354.53,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",18,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-13 00:00:00.000,2024-03-13 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",51271,"video_thruplay_watched_actions",89720,98289,0.083619,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",4287.21,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",18,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-16 00:00:00.000,2024-03-16 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",15314,"video_thruplay_watched_actions",30951,33621,0.088561,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",1356.22,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",15,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-16 00:00:00.000,2024-03-16 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",30845,"video_thruplay_watched_actions",47304,51439,0.085712,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",2643.78,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",15,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-17 00:00:00.000,2024-03-17 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",10053,"video_thruplay_watched_actions",18140,19322,0.080445,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",808.71,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",14,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-17 00:00:00.000,2024-03-17 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",21537,"video_thruplay_watched_actions",34455,35647,0.080098,"Media","Por encima de la media","Media",1725.06,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",14,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-18 00:00:00.000,2024-03-18 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRFB Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",17267,"video_thruplay_watched_actions",25592,27761,0.07082,"Por debajo de la media: por debajo del 35 % de los anuncios","Por encima de la media","Media",1222.85,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","FB",13,"Spots","Yucatán","ThruPlay","Facebook","Spot Campaña Largo"
"RZB Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx","https://analiticaempresarial.sharepoint.com/sites/PurpuraSolutionsSite/Documentos compartidos/Reportes_Redes_Preciado/RZB/RZB Reportes/",2024-03-18 00:00:00.000,2024-03-18 00:00:00.000,"24030102RZBSPOTGENERYUCA18-MAHYMTHRIN Spot Campaña Largo","active","RZB - Yucatán Thru Marzo 2024",0,"ABSOLUTE_OCPM",118000,"Toda la campaña",2024-03-27 00:00:00.000,"7 días después del clic o 1 día después de la visualización",59128,"video_thruplay_watched_actions",80797,86057,0.071766,"Media","Por encima de la media","Media",4243.38,2024-03-31 00:00:00.000,"SPOT","YUCA","THR","IN",13,"Spots","Yucatán","ThruPlay","Instagram","Spot Campaña Largo"
